CREDITO;CREDITO_DURACAO;CREDITO_PROPOSITO;HISTORICO_CREDIBILIDADE;HISTORICO_CREDITOS;HISTORICO_MOVIMENTACAO_BANCARIA;HISTORICO_PAGAMENTOS_ANTERIORES;HISTORICO_POUPANCA;CLIENTE_SEXO_ESTADO_CIVIL;CLIENTE_FIADOR;CLIENTE_IDADE;CLIENTE_EMPREGO;CLIENTE_TEMPO_EMPREGO;CLIENTE_HABITACAO;CLIENTE_TEMPO_HABITACAO
1049;18;2;1;1;1;4;1;2;1;21;3;2;1;4
2799;9;0;1;2;1;4;1;3;1;36;3;3;1;2
841;12;9;1;1;2;2;2;2;1;23;2;4;1;4
2122;12;0;1;2;1;4;1;3;1;39;2;3;1;2
2171;12;0;1;2;1;4;1;3;1;38;2;3;2;4
2241;10;0;1;2;1;4;1;3;1;48;2;2;1;3
3398;8;0;1;2;1;4;1;3;1;39;2;4;2;4
1361;6;0;1;1;1;4;1;3;1;40;2;2;2;4
1098;18;3;1;2;4;4;1;2;1;65;1;1;2;4
3758;24;3;1;1;2;2;3;2;1;23;1;1;1;4
3905;11;0;1;2;1;4;1;3;1;36;3;3;1;2
6187;30;1;1;2;1;4;2;4;1;24;3;4;1;4
1957;6;3;1;1;1;4;1;2;1;31;3;4;2;4
7582;48;10;1;1;2;3;2;3;1;31;4;1;2;4
1936;18;3;1;2;1;2;5;4;1;23;2;4;1;4
2647;6;3;1;1;1;2;3;3;1;44;3;3;1;3
3939;11;0;1;2;1;4;1;3;1;40;2;3;2;2
3213;18;3;1;1;2;2;3;4;1;25;3;2;1;3
2337;36;3;1;1;2;4;1;3;1;36;3;5;2;4
7228;11;0;1;2;4;4;1;3;1;39;2;3;2;4
3676;6;0;1;3;1;4;1;3;1;37;3;3;1;3
3124;12;0;1;2;2;4;1;3;1;49;2;2;2;3
2384;36;5;0;1;2;2;1;3;1;33;2;2;1;1
1424;12;4;1;1;2;4;1;3;1;26;3;4;2;3
4716;6;0;1;2;1;4;5;3;1;44;2;2;2;3
4771;11;3;1;1;2;3;1;3;1;51;3;4;2;4
