"PUBLICO","VEICULO","ESTADO","MES","VALOR_FIPE","VALOR_SEGURO_VENDIDO"
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1298.67
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1211.33
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1038.2
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1249.88
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,967.96
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1275.04
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1261.57
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1131
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,877.31
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1078.91
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1141.04
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1030.38
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1091.2
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1112.78
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,962.54
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1020.23
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1058.66
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1179.13
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1236.39
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1093.14
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1261.93
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,863.61
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,988.72
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,982.99
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1181.49
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1413.31
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1192.6
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1185.39
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1235.87
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1051.19
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1193.15
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,974.07
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1171.84
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1225.86
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1104.13
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1154.6
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1002.84
"Feminino","NOVO KA S 1.0 TICVT FLEX 4P (2020/2020)","SP",1,44244,1071.32
